Name,Personal_CIK,Company_CIK,Bio,Link,StockTicker,shares,SharePrice
Loxam Teri,1829111,1649094,"Ms. Loxam holds an M.B.A. from the University of California, Irvine, Paul Merage School of Business, and a B.Sc. from the University of Victoria.",https://www.sec.gov/Archives/edgar/data/1649094/000119312524096192/d21304ddef14a.htm,PCVX,62718.0,71.45
LOWELL WAYNE B,1263523,937098,"Mr. Lowell holds a B.S. in Accounting from the University of Maryland and an M.B.A. from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/937098/000093709824000080/tnet-20240411.htm,TNET,4807.0,105.46
Selecky Christobel,1849739,1326110,"Since 2014 she has served as a Strategic Advisor at Ceresti Health, a privately-held healthcare technology company, and has served as a lecturer in Healthcare Entrepreneurship for the M.B.A. program at the University of California, Irvine since 2017.",https://www.sec.gov/Archives/edgar/data/1326110/000132611023000050/ibrx-20230427.htm,IBRX,0.0,2.79
None_Name53,None_CIK53,1326110,"Since 2014 she has served as a Strategic Advisor at Ceresti Health, a privately-held healthcare technology company, and has served as a lecturer in Healthcare Entrepreneurship for the M.B.A. program at the University of California, Irvine since 2017.",https://www.sec.gov/Archives/edgar/data/1326110/000132611024000054/ibrx-20240429.htm,non_ticker,0.0,non_stock_price
None_Name54,None_CIK54,46195,,https://www.sec.gov/Archives/edgar/data/46195/000156459023003859/boh-def14a_20230428.htm,non_ticker,0.0,non_stock_price
Nichols Victor K,1614929,46195,"He has been an Advisor to Mitek, an identification technology provider, and to Bloom, a global consumer data provider.•In addition, Mr. Nichols is a past member of the Economics Leadership Council, University of California, San Diego, served on the Leadership Council for UCI Donald Bren School of Information and Computer Sciences, and served on the Dean’s Advisory Board, University of California, Irvine Merage School.",https://www.sec.gov/Archives/edgar/data/46195/000095017024032071/boh-20240311.htm,BOH,16246.0,56.01
None_Name55,None_CIK55,1730168,"He is a Professor in the Electrical and Computer Engineering Department at the University of California, Los Angeles since 1985 (on leave of absence since 1995) and a Distinguished Adjunct Professor in the Electrical Engineering and Computer Science Department at the University of California, Irvine since 2003.",https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/ny20015852x1_def14a.htm,non_ticker,0.0,non_stock_price
None_Name56,None_CIK56,1730168,"He is a Professor in the Electrical and Computer EngineeringDepartment at the University of California, Los Angeles since 1985 (on leave of absence since 1995) and a Distinguished Adjunct Professorin the Electrical Engineering and Computer Science Department at the University of California, Irvine since 2003.",https://www.sec.gov/Archives/edgar/data/1730168/000114036123007640/ny20006245x500_def14a.htm,non_ticker,0.0,non_stock_price
Pitta Michael J,2013453,1506307,"He holds a master’s degree in business administration from the University of California, Irvine, and a bachelor’s degree in engineering geology from the University of California, Los Angeles.",https://www.sec.gov/Archives/edgar/data/1506307/000150630724000022/kmi-20240326.htm,KMI,0.0,non_stock_price
Rydin Jeffrey P,1345767,1350653,"Mr. Rydin received a B.A. degree in Social Ecology from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1350653/000095017024049245/atec-20240426.htm,ATEC,553563.0,15.50
None_Name57,None_CIK57,1704711,,https://www.sec.gov/Archives/edgar/data/1704711/000170471124000057/fnko-20240424.htm,non_ticker,0.0,non_stock_price
